Lines 0 to 100 : Open=36, Close=35, Diff=1, RunningDiff=1
Lines 100 to 200 : Open=32, Close=31, Diff=1, RunningDiff=2
Lines 200 to 300 : Open=12, Close=13, Diff=-1, RunningDiff=1
Lines 300 to 400 : Open=29, Close=28, Diff=1, RunningDiff=2
Lines 400 to 500 : Open=15, Close=16, Diff=-1, RunningDiff=1
Lines 500 to 600 : Open=27, Close=26, Diff=1, RunningDiff=2
Lines 600 to 700 : Open=13, Close=14, Diff=-1, RunningDiff=1
Lines 700 to 800 : Open=23, Close=22, Diff=1, RunningDiff=2
Lines 800 to 900 : Open=21, Close=20, Diff=1, RunningDiff=3
Lines 900 to 1000 : Open=10, Close=10, Diff=0, RunningDiff=3
Lines 1000 to 1100 : Open=4, Close=4, Diff=0, RunningDiff=3
Lines 1100 to 1200 : Open=5, Close=5, Diff=0, RunningDiff=3
Lines 1200 to 1300 : Open=4, Close=4, Diff=0, RunningDiff=3
Lines 1300 to 1400 : Open=26, Close=29, Diff=-3, RunningDiff=0
Lines 1400 to 1500 : Open=33, Close=30, Diff=3, RunningDiff=3
Lines 1500 to 1600 : Open=25, Close=25, Diff=0, RunningDiff=3
Lines 1600 to 1700 : Open=32, Close=34, Diff=-2, RunningDiff=1
Lines 1700 to 1800 : Open=33, Close=30, Diff=3, RunningDiff=4
Lines 1800 to 1900 : Open=27, Close=29, Diff=-2, RunningDiff=2
Lines 1900 to 2000 : Open=33, Close=32, Diff=1, RunningDiff=3
Lines 2000 to 2100 : Open=23, Close=24, Diff=-1, RunningDiff=2
Lines 2100 to 2200 : Open=20, Close=20, Diff=0, RunningDiff=2
Lines 2200 to 2300 : Open=34, Close=34, Diff=0, RunningDiff=2
Lines 2300 to 2400 : Open=27, Close=27, Diff=0, RunningDiff=2
Lines 2400 to 2500 : Open=38, Close=40, Diff=-2, RunningDiff=0
Lines 2500 to 2600 : Open=17, Close=15, Diff=2, RunningDiff=2
Lines 2600 to 2700 : Open=28, Close=28, Diff=0, RunningDiff=2
Lines 2700 to 2800 : Open=21, Close=20, Diff=1, RunningDiff=3
Lines 2800 to 2900 : Open=30, Close=29, Diff=1, RunningDiff=4
Lines 2900 to 3000 : Open=35, Close=39, Diff=-4, RunningDiff=0
Lines 3000 to 3100 : Open=35, Close=30, Diff=5, RunningDiff=5
Lines 3100 to 3200 : Open=24, Close=26, Diff=-2, RunningDiff=3
Lines 3200 to 3300 : Open=18, Close=17, Diff=1, RunningDiff=4
Lines 3300 to 3400 : Open=26, Close=28, Diff=-2, RunningDiff=2
Lines 3400 to 3500 : Open=17, Close=16, Diff=1, RunningDiff=3
Lines 3500 to 3600 : Open=23, Close=22, Diff=1, RunningDiff=4
Lines 3600 to 3700 : Open=36, Close=40, Diff=-4, RunningDiff=0
Lines 3700 to 3800 : Open=41, Close=38, Diff=3, RunningDiff=3
Lines 3800 to 3900 : Open=46, Close=47, Diff=-1, RunningDiff=2
Lines 3900 to 4000 : Open=33, Close=33, Diff=0, RunningDiff=2
Lines 4000 to 4100 : Open=30, Close=30, Diff=0, RunningDiff=2
Lines 4100 to 4200 : Open=30, Close=30, Diff=0, RunningDiff=2
Lines 4200 to 4300 : Open=31, Close=31, Diff=0, RunningDiff=2
Lines 4300 to 4400 : Open=30, Close=31, Diff=-1, RunningDiff=1
Lines 4400 to 4500 : Open=35, Close=30, Diff=5, RunningDiff=6
Lines 4500 to 4600 : Open=27, Close=29, Diff=-2, RunningDiff=4
Lines 4600 to 4700 : Open=47, Close=47, Diff=0, RunningDiff=4
Lines 4700 to 4800 : Open=50, Close=46, Diff=4, RunningDiff=8
Lines 4800 to 4897 : Open=27, Close=33, Diff=-6, RunningDiff=2
